Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude,stft_pct,stft_rolling_mean,stft_rolling_std,stft_ema,stft_low_flag,lambda_v,lambda_rolling_mean,lambda_rich_flag,map_mbar,map_rolling_mean,map_rolling_std,rpm,is_idle,rpm_delta,rpm_jerk,module_voltage,voltage_low_flag,voltage_rolling_min,calc_load_pct,calc_load_rolling_mean,rich_idle_score,low_battery_score
,,,,,,,,,,,,,,,,nan,,,49,,,,,0,,,0,,,,,0,0.0,0.0,,0,,,,0,0
30.0,738.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.49,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,738.0,1,0.0,0.0,13.49,0,13.49,25.0,25.0,1,0
30.0,736.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.39,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,736.0,1,-2.0,-2.0,13.39,0,13.39,25.0,25.0,1,0
30.0,736.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.49,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,736.0,1,0.0,2.0,13.49,0,13.39,25.0,25.0,1,0
30.0,738.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.49,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,738.0,1,2.0,2.0,13.49,0,13.39,25.0,25.0,1,0
30.0,737.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.39,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,737.0,1,-1.0,-3.0,13.39,0,13.39,25.0,25.0,1,0
30.0,739.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.39,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,739.0,1,2.0,3.0,13.39,0,13.39,25.0,25.0,1,0
30.0,741.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.39,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,741.0,1,2.0,0.0,13.39,0,13.39,25.0,25.0,1,0
30.0,737.0,25.0,0.0,47.0,51.0,0.0,0.44,1010.0,13.39,2.0,12.0,12.0,0.44,0.0,370.0,Malha aberta,21.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,370.0,370.0,0.0,737.0,1,-4.0,-6.0,13.39,0,13.39,25.0,25.0,1,0
30.0,738.0,42.0,0.0,47.0,52.0,0.0,0.44,1010.0,13.87,39.0,16.0,17.0,0.44,0.0,470.0,Malha aberta,28.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,470.0,390.0,40.0,738.0,1,1.0,5.0,13.87,0,13.39,42.0,28.4,1,0
30.0,2027.0,19.0,0.0,47.0,52.0,0.0,0.44,1010.0,13.96,51.0,61.0,61.0,0.44,0.0,500.0,Malha aberta,29.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,500.0,416.0,57.1314274283428,2027.0,0,1289.0,1288.0,13.96,0,13.39,19.0,27.2,0,0
30.0,3123.0,15.0,0.0,47.0,52.0,0.0,0.44,1010.0,13.96,3.0,14.0,14.0,0.44,0.0,230.0,Malha aberta,15.0,0.0,49,0.0,0.0,0.0,0.0,0,0.44,0.44,0,230.0,388.0,94.74175425861608,3123.0,0,1096.0,-193.0,13.96,0,13.39,15.0,25.2,0,0
